Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Haddi,2023,"Crime, Drama",Akshat Ajay Sharma,Nothing from IMDB,"Nawazuddin Siddiqui, Anurag Kashyap, Mohd. Zeeshan Ayyub, Ivanka Das, Ila Arun, Vipin Sharma, Saurabh Sachdeva, Rajesh Kumar, Shriidhar Dubey, Saharsh Kumar Shukla",,['134'],India,Hindi,,5.7,22188452
Gurgaon,2017,"Crime, Thriller",Shanker Raman,Nothing from IMDB,"Akshay Oberoi, Pankaj Tripathi, Aamir Bashir, Ragini Khanna, Shalini Vatsa, Yogi Singha, Srinivas Sunderrajan, Anastasiya Ador, Sanjiv Ahuja, Anil","Story of a family is intertwined with the city of Gurgaon. There is a rebel, in the house of ambition with a gory past and greedy present. As he gets in big trouble, so do people around him. What will be the outcome of the chaos? What future has in store for this family?",['107'],India,Hindi,,6.4,4699202
Gunday,2014,"Action, Drama, Musical, Romance",Ali Abbas Zafar,Nothing from IMDB,"Ranveer Singh, Arjun Kapoor, Priyanka Chopra Jonas, Irrfan Khan, Karan Aanand, Victor Banerjee, Prasanjit Chatterjee, Diwakar Dhyani, Darshan Gurjar, Uttam Halder","The war of 1971 gave birth to Bangladesh and two young orphans - Bikram (Ranveer Singh) and Bala (Arjun Kapoor). They became Calcutta's most loved and most powerful GUNDAY. Nandita (Priyanka Chopra), the beautiful cabaret dancer, walked in and they fell head over heels in love with her. And then entered ACP Satyajeet Sarkar (Irrfan Khan), a law for every outlaw and a counter force for Bikram and Bala.",['152'],India,"Hindi, Bangla",,2.7,2574698
Guilty,2020,"Drama, Thriller",Ruchi Narain,Nothing from IMDB,"Kiara Advani, Taher Shabbir, Akansha Ranjan Kapoor, Gurfateh Pirzada, Niki Walia, Manu Rishi Chadha, Dalip Tahil, Kunal Vijaykar, Chayan Chopra, Sahil Mehta",,['119'],India,"Hindi, English",,5.4,10062614
Great Grand Masti,2016,"Comedy, Drama, Fantasy, Horror",Indra Kumar,Nothing from IMDB,"Urvashi Rautela, Riteish Deshmukh, Vivek Oberoi, Aftab Shivdasani, Puja Banerjee, Mishti Chakravarty, Shraddha Das, Usha Nadkarni, Kangna Sharma, Ketan Karande",,['134'],India,Hindi,,3.7,4675030
Gran Turismo,2023,"Action, Adventure, Drama, Sport",Neill Blomkamp,Nothing from IMDB,"David Harbour, Orlando Bloom, Archie Madekwe, Takehiro Hira, Darren Barnet, Geri Horner, Djimon Hounsou, Josha Stradowski, Daniel Puig, Maeve Courtier-Lilley","Jann is an avid gamer from Cardiff who spends his days playing Gran Turismo, refusing to succeed in the real world. Meanwhile, in Tokyo, Danny, a marketing manager for the Nissan automobile corporation, is running an advertising campaign and, together with the management of Gran Turismo, hatches a plan to launch a competition inviting gamers to try their luck in real racing cars. Needing help organizing an event, Danny turns to Jack, a former racing driver and incorrigible cynic. When fate brings Jann together with Danny and Jack, the gamer becomes the driver of a Nissan racing car, plunging headlong into the fight for a place in the sun in the competitive world of real racing.",['134'],"United States, Japan",English,,7.2,4495098
Goodbye,2022,"Comedy, Drama, Family",Vikas Bahl,Vikas Bahl,"Amitabh Bachchan, Neena Gupta, Rashmika Mandanna, Pavail Gulati, Sunil Grover, Abhishekh Khan, Elli Avrram, Sahil Mehta, Arun Bali, Shivin Narang","Engrossed in celebrating her first career milestone with friends, Tara Bhalla (Rashmika Mandanna) misses her father Harish's (Amitabh Bachchan) phone calls. Her world falls apart when she wakes up to discover that those calls were made to inform her of her mother Gayatri's (Neena Gupta) untimely demise. What transpires after, forms the story.",['130'],India,Hindi,,6.8,14438964
Goodachari,2018,"Action, Thriller",Sashi Kiran Tikka,Nothing from IMDB,"Adivi Sesh, Sobhita Dhulipala, Jagapathi Babu, Prakash Raj, Irfan Ahmed Syed, Ademi, Neelsh Ahankari, Ali, Ashok, Adarsh Babu",,['147'],India,Telugu,,7.8,7758160
Go Goa Gone,2013,"Action, Adventure, Comedy, Horror, Sci-Fi","Krishna D.K., Raj Nidimoru",Nothing from IMDB,"Saif Ali Khan, Kunal Kemmu, Vir Das, Anand Tiwari, Puja Gupta, Ross Bucharn, Minal Thakur, Suparn Varma, Larrisa Bonesi, Krishna D.K.","Two friends, Luv (Vir Das) and Hardik (Kunal Khemu) are going through bad times. Luv has learned that his girlfriend has been cheating on him and Hardik is this close to being fired from his job. They both badly need a break and when their roommate Bunny (Anand Tiwari) informs them that he is going to Goa for a presentation, they jump at the chance for a vacation. Once in Goa, Luv meets a girl, Luna (Pooja Gupta) who invites him to a rave party organized by Russian mafia on a remote island. At the party, an experimental drug is introduced. Then, come morning, things go totally wrong for the three hapless guys and the girl. As it turns out, the untested drug has a deadly side effect...",['108'],India,"Hindi, Russian, English",,6.6,2436516
Netflix: The Glass Onion Cast Reacts to the Trailer for Glass Onion: A Knives Out Mystery,2022,"Short, Mystery",Nothing from IMDB,Nothing from IMDB,"Madelyn Cline, Kathryn Hahn, Jessica Henwick, Kate Hudson, Leslie Odom Jr.",,['3'],United States,English,,6.3,23724524
