Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Hurdang,2022,"Drama, Romance","Nikhil Nagesh Bhat, Vishal Chaturvedi",Nothing from IMDB,"Sunny Kaushal, Nushrratt Bharuccha, Vijay Varma, Viraj Kapoor, Shivam Mishra, Anupam Mishra, Mahesh Chandra Deva, Nitanshi Goel, Shubhashish Jha, Rakhi Kishore",,['122'],India,Hindi,,5.3,10919304
Hum Tum Pe Marte Hain,1999,"Action, Comedy, Drama, Romance",Nabh Kumar 'Raju',Nabh Kumar 'Raju',"Govinda, Urmila Matondkar, Dimple Kapadia, Paresh Rawal, Nirmal Pandey, Himani Shivpuri, Johny Lever, Gulshan Grover, Swastika, Master Harsha","Devyani is a woman's activist, and a social worker, living in Bombay for several years. She has a younger sister, Radhika, who is of marriage age. Devyani would prefer Radhika be independent, financially and otherwise, rather than be dependent on a male. When Rahul Kumar comes to live in the neighborhood, he is instantly attracted to Radhika, but has to prove himself to her sister first.",['165'],India,Hindi,,5.0,226786
Hum Ho Gaye Aap Ke,2001,"Drama, Musical, Romance","Ahathian, Sunil Kumar Agrawal",Nothing from IMDB,"Fardeen Khan, Reema Sen, Apurva Agnihotri, Suman Ranganath, Sadashiv Amrapurkar, Suresh Oberoi, Mahesh Thakur, Anant Mahadevan, Shammi, Achyut Potdar",Wealthy and spoil Rishi Oberoi lives in a spacious bungalow and is the only child in the Oberoi family. He often indulges himself with alcohol and women only to one day come across a young woman named Chandni Gupta who is fascinated by him but Chandni will have nothing to do with him due to his lifestyle and is instead attracted to Mohan Sachdev; who is employed as a typist in Rishi's business empire. Unfortunately Chandni is unable to marry Mohan because of financial crises between both parties respective families resulting in Chandni taking up resident with Rishi. Slowly by slowly Rishi and Chandni makes the necessary adjustments to their lives resulting in both falling in love which is met with terrible shortcoming when Rishi's dad object to the couple's marriage.,['168'],India,Hindi,,4.3,292552
Hum Dono,1985,"Comedy, Family, Musical, Romance",B.S. Glaad,B.S. Glaad,"Rajesh Khanna, Hema Malini, Reena Roy, Johnny Walker, Jagdeep, Mukri, Mohan Choti, Om Shivpuri, Roopesh Kumar, Keshto Mukherjee",,['156'],India,Hindi,,6.6,87434
Hum Do Hamare Do,2021,Comedy,Abhishek Jain,Nothing from IMDB,"Rajkummar Rao, Kriti Sanon, Paresh Rawal, Ratna Pathak Shah, Aparshakti Khurana, Manu Rishi Chadha, Prachee Shah, Mazel Vyas, Saanand Verma, Shibani Bedi",,['128'],India,Hindi,,6.0,11816092
Hum Dil De Chuke Sanam,1999,"Comedy, Drama, Musical, Romance",Sanjay Leela Bhansali,Nothing from IMDB,"Aishwarya Rai Bachchan, Salman Khan, Ajay Devgn, Zohra Sehgal, Vikram Gokhale, Smita Jaykar, Rekha Rao, Rajeev Verma, Kenneth Desai, Ghanshyam Nayak","When Sameer asks for Nandini's hand in marriage, her family refuses, having already chosen a husband for her. Sameer returns to Italy. When Vanraj, Nandini's husband, realizes that his new bride has been in love with someone else, he is prepared to sacrifice his love for her and take her to Italy to be reunited with her true love, Sameer.",['188'],"India, Hungary",Hindi,,7.4,150992
Housefull 3,2016,"Action, Comedy, Romance","Sajid, Farhad Samji",Nothing from IMDB,"Akshay Kumar, Abhishek Bachchan, Riteish Deshmukh, Jackie Shroff, Jacqueline Fernandez, Nargis Fakhri, Lisa Haydon, Boman Irani, Sameer Kochhar, Nikitin Dheer","London-based businessmen Batuk Patel lives with his three daughters Ganga (Gracy), Jamuna (Jenny), and Saraswati (Sarah). The sisters want to get married to their boyfriends Sandy, Teddy, and Bunty, and they speak to their father. But Aakhri Pasta, a restaurant owner who is also Batuk's fortuneteller, tells him that he will die if his daughters' boyfriends step into his home, speak to him, or even see him. Sandy, Teddy, and Bunty pretend to be differently-abled and enter the house and suspect one another of being able-bodied and want to expose one another. But Batuk shares a secret with Pasta: the daughters aren't his own; their father is his Mumbai-based friend Don Urja Nagre, who is currently serving a jail term.",['140'],India,Hindi,,4.9,4559046
Behind the Scenes of 'Hotel Mumbai',2019,"Documentary, Short, History, News, Talk-Show",Nothing from IMDB,Nothing from IMDB,"Anthony Maras, Tilda Cobham-Hervey, Anupam Kher, Nick Remy Matthews",,['7'],Australia,English,,,11052402
Himalay Putra,1997,"Action, Drama, Romance",Pankaj Parashar,Nothing from IMDB,"Vinod Khanna, Hema Malini, Akshaye Khanna, Anjala Zaveri, Shazia Malik, Johny Lever, Satish Shah, Danny Denzongpa, Amrish Puri, Rocky Grover",Misunderstandings cause ACP Suraj Khanna (Vinod Khanna) to be separated from Seema (Hema Malini) with Suraj unaware she is expecting their child. Seema moves away to the Himalayan Mountains and gives birth to a son named Abhay (Akshaye Khanna). Abhay hates his father for abandoning his mother and vows to kill him if he ever crossed paths with him. Fate brings father and son together when Suraj apprehends a drug baron (Danny Denzongpa) with the help of Abhay. Abhay invites Suraj to his house and Suraj is shocked to see Seema introduced as Abhay's mum. How Suraj finds out Abhay is his son forms the rest of the movie.,,India,Hindi,,4.3,119295
Local Hero,1983,"Comedy, Drama",Bill Forsyth,Bill Forsyth,"Burt Lancaster, Peter Riegert, Fulton Mackay, Denis Lawson, Norman Chancer, Peter Capaldi, Rikki Fulton, Alex Norton, Jenny Seagrove, Jennifer Black","Oil billionaire Happer sends Mac to a remote Scottish village to secure the property rights for an oil refinery they want to build. Mac teams up with Danny and starts the negotiations, the locals are keen to get their hands on the 'Silver Dollar' and can't believe their luck. However, a local hermit and beach scavenger, Ben Knox, lives in a shack on the crucial beach which he also owns. Happer is more interested in the Northern Lights and Danny in a surreal girl with webbed feet, Marina. Mac is used to a Houston office with fax machines but is forced to negotiate on Bens terms.",['111'],United Kingdom,"English, Russian, Japanese",,7.3,85859
