Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Sarkar 3,2017,"Action, Crime, Drama, Thriller",Ram Gopal Varma,Nothing from IMDB,"Amitabh Bachchan, Yami Gautam, Manoj Bajpayee, Abhishek Bachchan, Jackie Shroff, Ronit Roy, Amit Sadh, Rohini Hattangadi, Supriya Pathak, Parag Tyagi",,['130'],India,Hindi,,4.9,5742874
Sardar Udham,2021,"Biography, Crime, Drama, History",Shoojit Sircar,Nothing from IMDB,"Vicky Kaushal, Shaun Scott, Stephen Hogan, Amol Parashar, Banita Sandhu, Kirsty Averton, Andrew Havill, Sam Redford, Albrecht Zander, Tim Berrington","Indian Revolutionary Udham Singh who's better known for the assassination of Michael O Dwyer in London, who was behind the Jallianwala Bagh Massacre on April 13, 1919. The story sets out how Udham Singh survived the massacre on day of Baisakhi which killed around 400 people and injured around 1000 and avenges those who died.",['164'],India,"Hindi, English, Russian, Punjabi",,8.4,10280296
Sardar,2022,"Action, Drama, Thriller",P.S. Mithran,Nothing from IMDB,"Karthi, Raashi Khanna, Mohammad Ali Baig, Rithvik Jothi Raj, K S Krishnan, Shyam Krishnan, Laila, Abdool Lee, Rohiet Nair, Chunky Pandey",,['166'],India,Tamil,,7.5,14526318
Sardarji,2015,"Comedy, Fantasy, Horror, Romance",Rohit Jugraj,Nothing from IMDB,"Diljit Dosanjh, Neeru Bajwa, Mandy Takhar, Jaswinder Bhalla, Amrit Pal, Ali Kazmi, Anita Kailey, Daman Singh, Sanju Salonki, Jatinder Lall",,['141'],India,Punjabi,,6.2,4080386
Sanki Daroga,2018,Action,Nothing from IMDB,Nothing from IMDB,"Ravi Kishan, Anjana Singh, Manoj Tiger, Dinesh Tiwari, Ankita Tripathi",,,Nothing from IMDB,Nothing from IMDB,,6.6,9020786
Sanam Teri Kasam,2016,"Drama, Musical, Romance","Radhika Rao, Vinay Sapru",Nothing from IMDB,"Harshvardhan Rane, Mawra Hocane, Vijay Raaz, Murli Sharma, Manish Chaudhari, Anurag Sinha, Sudesh Berry, Pyumori Mehta, Shraddha Das, Rushad Rana","A musical romantic movie exploring the journey that ensues when the blue blooded boy Inder (Harshvardhan Rane) ""Who wanted to love no one"" crosses paths with Saru (Mawra Hocane) ""Whom no one wanted to love"". All their lives they were waiting to meet, but they just didn't know it . A musical tale of love , longing and loss. Sanam Teri Kasam - A Love story sealed with a Curse Directed by Radhika Rao and Vinay Sapru Music by Himesh Reshammiya with songs which will make you live a lifetime of love.",['154'],India,Hindi,,7.6,5255710
Sairat,2016,"Drama, Romance",Nagraj Manjule,Nothing from IMDB,"Rinku Rajguru, Akash Thosar, Arbaz Shaikh, Tanaji Galgunde, Suresh Vishwakarma, Suraj Pawar, Anuja Mule, Bhushan Manjule, Chhaya Kadam, Rubina Inamdar","Sairat is a love story, as advertised. Aarchi , a rich upper class girl falls for her classmate Parshya , a poor but smart boy from the lower social strata. The magic happens, and they start seeing each other. Secretly at first, but they get bolder with passing time. The problem is that Aarchi is not just from the upper class, her father is a powerful politician, and her brother Prince is following in on his footsteps. The entire affair is a recipe for trouble, and as expected, trouble arrives. With the help of Parshya's friends, Baalya and Salya, they decide to make a run for it, but fate has other plans.",['174'],India,Marathi,,8.3,5312232
Saheb Biwi Aur Gangster Returns,2013,"Action, Crime, Drama, Thriller",Tigmanshu Dhulia,Nothing from IMDB,"Jimmy Shergill, Mahie Gill, Irrfan Khan, Soha Ali Khan, Raj Babbar, Deepraj Rana, Mugdha Godse, Rajiv Gupta, Dinesh Uniyal, Sanjay Brown","A crippled Aditya Pratap Singh trying to recover from his disability and betrayal of his wife Madhvi whose now and MLA.Madhvi and Aditya's relationship is in shambles and she has turned alcoholic thou no knowledge of politics she gets her work done by seductress ways. Indrajeet Singh a prince has lost his pride and family respect which was destroyed by Aditya Pratap's ancestors is in love with Ranjana and wants his pride back.But Aditya Pratap falls for Ranjana and forces her father Briendra Pratap for marriage,Madhvi whose weakness is men falls for Indrajeet and both want to destroy Aditya Pratap.But while trying to save his families respect and pride Indrajit also becomes victim of Madhvi's plans.",['142'],India,Hindi,,6.7,2362778
Sadak Chhap,1987,"Crime, Drama",Anil Ganguly,Nothing from IMDB,"Jackie Shroff, Padmini Kolhapure, Richa Sharma, Amrish Puri, Deven Verma, Gulshan Grover, Nandita Thakur, Huma Khan, Vijay Arora, Suhasini Mulay","Born on the street, without any knowledge of his parents, Shankar (Jackie Shroff) lives his life as an urchin, on petty thievery and con games. He is o known to the police because of his petty crimes. Rich and beautiful Natasha (Richa Sharma), niece of a well-known Member of Parliament, Dharamdas (Amrish Puri)falls for him, but Shankar heart is with another (Padmini Kolhapure). Shankar comes to know that his father is alive, he soon meets up with him, and with the help of Natasha, comes across a closely guarded conspiracy involving people he has known for a long time.",['150'],India,Hindi,,4.4,363972
Saaho,2019,"Action, Thriller",Sujeeth,Nothing from IMDB,"Prabhas, Shraddha Kapoor, Jackie Shroff, Neil Nitin Mukesh, Vennela Kishore, Murli Sharma, Arun Vijay, Prakash Belawadi, Evelyn Sharma, Mandira Bedi","This action thriller is about a power battle which is taking place in the higher echelons of power unrelated and unconnected episodes occurring in different parts of the globe, Intertwine in an unforeseen manner to a revelation of mind games. The story delves the audience into the game of a brilliant master mind to reveal the true nature of all that are involved. It challenges the perceptions of who is the hunter and who is the hunted.",['170'],India,"Hindi, Telugu, Tamil",,5.0,6836936
