Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Akira,2016,"Action, Thriller",A.R. Murugadoss,Nothing from IMDB,"Sonakshi Sinha, Anurag Kashyap, Konkona Sen Sharma, Nandu Madhav, Amit Sadh, Atul Kulkarni, Smita Jaykar, Lokesh Gupte, Uday Sabnis, Raai Laxmi","Akira lives in a small town India her father had taught her to fight for rights of women at very young age she is put in remand home for an accidental crime.14 years later Akira and her mother shift to Mumbai at her brother's place and she takes admission in Holy Cross College and starts living in hostel where she is harassed by fellow students but Akira fights back ,Acp Rane is a corrupt cop who along with his fellow officers kills a person on Panvel highway after they found huge sum of money in his car, Maya a keep of Rane records his phone call to blackmail him but her handy cam gets stolen by a student of Holy Cross College who blackmails him ,Rane's fellow officers keep and eye on the college students arrests Akira thinking she has the recorded video, while Rane's man are about to kill Akira and the two men whom Maya had shown Rane's video ,Rane calls his colleague Rajeshwar and Manek asking them to leave Akira as they have caught wrong female,Rane then tells Manek to kill Akira as she has seen them killing a person.Akira hits Rajeshwar and runs from the spot but is soon caught and put in asylum saying she is become insane.",['137'],India,Hindi,,5.9,5465370
Akele Hum Akele Tum,1995,"Drama, Romance",Mansoor Khan,Nothing from IMDB,"Aamir Khan, Manisha Koirala, Master Adil, Deven Verma, Anjan Srivastav, Rohini Hattangadi, Tanvi Azmi, Paresh Rawal, Rakesh Roshan, Shafi Inamdar","Rohit Kumar (Aamir Khan) is an aspirant playback singer while Kiran (Manisha Koirala) is a classical singer-in-training, but inside aims to be some thing like Rohit. They meet, relate to each other's sentiments and fall in love. But when Kiran's parents oppose their marriage, they decide to lead a separate life. However, after their marriage, Kiran's ambitions take a back seat as she feels suppressed by her household responsibilities and her child to look after. Time fails to abate Kiran's frustration until she decides to leave Rohit and start a new life all over again. Now a loner, Rohit is forced to look after both his son and his falling career on his own. After some obvious teething troubles, Rohit succeeds in creating a separate world of their own with Sonu, his son. Meanwhile, Kiran incidentally becomes a huge film star. When her attempts to reconcile with Rohit backfire, she decides to call the marriage off and also files a case demanding Sonu's custody. But Rohit is not giving up without a battle for his rights as a father.",['160'],India,Hindi,,6.9,112313
Ajeeb Daastaans,2021,"Drama, Romance","Neeraj Ghaywan, Kayoze Irani, Rahul Kamboj, Shashank Khaitan, Raj Mehta",Nothing from IMDB,"Fatima Sana Shaikh, Jaideep Ahlawat, Armaan Ralhan, Nushrratt Bharuccha, Abhishek Banerjee, Maneesh Verma, Konkona Sen Sharma, Aditi Rao Hydari, Shefali Shah, Manav Kaul",,['142'],India,Hindi,,6.7,14091818
AEW Rampage Preview - AEW Tag Titles On The Line! Anna Jay Vs. The Bunny! Matt Hardy Threatens Orange Cassidy! Will Fuego Del Sol Lose His Car?!,2021,Talk-Show,Nothing from IMDB,Nothing from IMDB,Nothing from IMDB,,['24'],Nothing from IMDB,Nothing from IMDB,,,18908290
Agneepath,2012,"Action, Crime, Drama",Karan Malhotra,Nothing from IMDB,"Hrithik Roshan, Priyanka Chopra Jonas, Sanjay Dutt, Rishi Kapoor, Madhurjeet Sarghi, Rajesh Tandon, Kanika Tiwari, Om Puri, Zarina Wahab, Katrina Kaif","Agneepath is a story of revenge of Vijay Chauhan against an evil and sadistic Kaancha, who hangs Vijay's father to death. Vijay grows up with a single aim of avenging his father's death. The story revolves around Vijay Chauhan, his relationships with his family and above all, his Revenge.",['174'],India,"Hindi, Marathi, English",,6.9,1849718
Agent Sai Srinivasa Athreya,2019,"Comedy, Crime, Mystery, Thriller",Swaroop Rsj,Nothing from IMDB,"Naveen Polishetty, Shruti Sharma, Krishneswara Rao, Suhas, Sandeep Raj, Ramdutt, Shredha Rajagopalan, Viswanath Mandalika, Kousi Orfahli, Prashant",Agent Athreya (Navin Polisetty) starts a detective agency in Nellore (a city) named FBI (Fathima Bureau of Investigation) and covers small cases. The silliness and façade continue until Athreya lands in trouble when he seriously pursues a dead found on the rails. How Athreya untangles the mystery is what the film is all about.,['148'],India,Telugu,,8.3,10214826
Ae Dil Hai Mushkil,2016,"Drama, Music, Musical, Romance",Karan Johar,Nothing from IMDB,"Ranbir Kapoor, Aishwarya Rai Bachchan, Anushka Sharma, Fawad Khan, Lisa Haydon, Imran Abbas, Pooja Mehta, Cru Fox, Jamil Ahmed, Phyl Cashman","A story about unrequited love - the shapes it takes, the ways it changes us and the exhilarating and often heartbreaking ride it takes us on. It is the journey of three characters, Ayan, Alizeh and Saba, as their lives intertwine and they navigate life, love and heartbreak.",['158'],India,Hindi,,5.8,4559006
Adventures of Ali-Baba and the Forty Thieves,1980,"Action, Adventure, Family, Fantasy, Romance","Latif Faiziyev, Umesh Mehra",Nothing from IMDB,"Dharmendra, Hema Malini, Zeenat Aman, Prem Chopra, Zakir Mukhamedzhanov, Sofiko Chiaureli, Madan Puri, Yakub Akhmedov, Rolan Bykov, Khodzha Durdy Narliyev","Alibaba, (Dharmendra) a native of Guleba is in love with Marjina (Hema Malini). The town has a ruler, Abu Hasan. Guleban is terrorized by dacoits. Ali Baba hears the password to the door of the cave of the dacoits and takes a lot of jewels from the cave. His brother is killed by the dacoits as he forgets the password and is trapped inside. A young girl whose father has been murdered by the dacoits (Zeenat Aman) has a score to settle with Abu Hasan. Abu Hasan turns out to be the head of the dacoits and he comes to know that Ali Baba visits the cave. He hides the 40 thieves in large urns to kill Ali Baba. Ali Baba comes to know of this and kills them all. He brings to light the startling truth that their own ruler heads the dacoits!",['138'],"Soviet Union, India","Hindi, Russian",,6.2,79749
Action Jackson,1988,"Action, Comedy, Crime, Thriller",Craig R. Baxley,Robert Reneau,"Carl Weathers, Craig T. Nelson, Vanity, Sharon Stone, Tom Wilson, Bill Duke, Robert Davi, Jack Thibeau, Roger Aaron Brown, Stan Foster","Jericho ""Action"" Jackson is a Detroit police sergeant who was demoted from lieutenant for almost tearing the arm off of sexually violent sociopath Sean Dellaplane, whose father is Peter Dellaplane, a major car manufacturer. But Dellaplane himself is violent as well. Dellaplane kills his wife Patrice by shooting her. And then he plants her body in Jackson's apartment, framing Jackson. Dellaplane won't miss Patrice very much, because he has a drug-addicted mistress named Sydney Ash. He keeps Sydney hooked with a free supply of heroin. Jackson suspects Dellaplane of masterminding a murder spree against local officials from the auto workers' union. Dellaplane's mission is to gain a political power base and choose the next president of the United States. Because of what happened to Dellaplane's son Sean, Dellaplane has taken a particular dislike to Jackson. Jackson gets Sydney's help in going after Dellaplane.",['96'],United States,English,,5.5,94612
Action Hero Biju,2016,"Action, Comedy, Thriller",Abrid Shine,Nothing from IMDB,"Nivin Pauly, Anu Emmanuel, Devi Ajith, Binoy Antony, Baby, Balachandran Chullikadu, Sreeja Das, Rony David, Jojo George, Joju George","The story of Action Hero Biju revolves around certain interesting episodes in the life of a young police officer, his personal and professional life. Nivin Pauly plays the titular role, Sub Inspector Biju Paulose, an officer in a Janamaithri Police Station. The situations take the story forward. Action Hero Biju is a realistic portrayal of a cops life, in contrast to the macho appearance seen usually in action movies.",['144'],India,Malayalam,,7.6,5320514
