Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
The Girl on the Train,2016,"Crime, Drama, Mystery, Thriller",Tate Taylor,Nothing from IMDB,"Emily Blunt, Haley Bennett, Rebecca Ferguson, Justin Theroux, Luke Evans, Edgar Ramírez, Laura Prepon, Allison Janney, Darren Goldstein, Lisa Kudrow","The Girl on the Train is the story of Rachel Watson's life post-divorce. Every day, she takes the train in to work in New York, and every day the train passes by her old house. The house she lived in with her husband, who still lives there, with his new wife and child. As she attempts to not focus on her pain, she starts watching a couple who live a few houses down -- Megan and Scott Hipwell. She creates a wonderful dream life for them in her head, about how they are a perfect happy family. And then one day, as the train passes, she sees something shocking, filling her with rage. The next day, she wakes up with a horrible hangover, various wounds and bruises, and no memory of the night before. She has only a feeling: something bad happened. Then come the TV reports: Megan Hipwell is missing. Rachel becomes invested in the case and trying to find out what happened to Megan, where she is, and what exactly she herself was up to that same night Megan went missing.",['112'],"United States, India","English, Spanish",,6.5,3631112
The Family Man,2019,"Action, Comedy, Drama",Nothing from IMDB,"Krishna D.K., Krishna D.K., Krishna D.K.","Manoj Bajpayee, Sharib Hashmi, Priyamani, Ashlesha Thakur, Vedant Sinha, Shahab Ali, Shreya Dhanwanthary, Sharad Kelkar, Dalip Tahil, Darshan Kumaar","'The Family Man' is an edgy action-drama series which tells the story of a middle-class man who works for a special cell of the National Investigation Agency. While he tries to protect the nation from terrorists, he also must protect his family from the impact of his secretive, high-pressure, and low-paying job.",['45'],India,"Arabic, English, Tamil, Hindi",,8.7,9544034
The Infiltrator,2016,"Biography, Crime, Drama, Thriller",Brad Furman,Nothing from IMDB,"Bryan Cranston, Leanne Best, Daniel Mays, Tom Vaughan-Lawlor, Niall Hayes, Lara Decaro, Juliet Aubrey, Olympia Dukakis, Amy Ryan, John Leguizamo","During the 1980s, U.S. Customs Service special agent Robert Mazur uses his undercover alias ""Bob Musella"" to become a pivotal player for drug lords cleaning their dirty cash. Later, he infiltrates the world's largest cartel, and helps expose the money-laundering organization of drug lord Pablo Escobar and take down the Bank of Credit and Commerce International, which had secretly taken illegal ownership of First American Bank shares in Washington, D.C. He survives the deception and has a long and productive career.",['127'],"United Kingdom, United States","English, Spanish",,7.0,1355631
The Tashkent Files,2019,"Drama, Mystery, Thriller",Vivek Agnihotri,Nothing from IMDB,"Shweta Basu Prasad, Mithun Chakraborty, Naseeruddin Shah, Pankaj Tripathi, Vinay Pathak, Rajesh Sharma, Pallavi Joshi, Mandira Bedi, Prakash Belawadi, V.M. Badola",,['134'],India,Hindi,,8.1,8108268
The Big Bull,2021,"Biography, Crime, Drama, Mystery",Kookie Gulati,Nothing from IMDB,"Abhishek Bachchan, Nikita Dutta, Ileana D'Cruz, Sanjeev Pandey, Srestha Banerjee, Borde Abhijeet, Vinit Medhatia Akash, Hittesh Arrora, Kannan Arunachalam, Sorabh Chauhan","Hemant Shah works as clerk in office and lives with his mother and younger brother Viren,he is in love with Priya but her father wants her to marry a well settled person.After Viren looses money in stock market ,Hemant then arranges for some money and according to tips invests in share market to pay Viren's debts.Hemant makes lot of profits with his intelligence and decides to be a full time broker after lot ups and downs he becomes the king of share market and lives a luxury life and also marries Priya.Apart from businessmen the common man also starts to invest in market as Hemant has given a ray of hope to them but question remains to biggies of market from where is Hemant arranging funds in stock market. Meera Rao a journalist finds about the scam of 565 Crore missing from National Bank Of India and Hemant is responsible for shuffling its funds she covers the story causing troubles for The Big Bull.",['153'],India,Hindi,,5.7,9614452
The Legend of Bhagat Singh,2002,"Action, Biography, Drama, History",Rajkumar Santoshi,Nothing from IMDB,"Ajay Devgn, Sushant Singh, D. Santosh, Akhilendra Mishra, Raj Babbar, Farida Jalal, Amrita Rao, Mukesh Tiwari, Surendra Rajan, Saurabh Dubey","Bhagat Singh was born in British India during the year 1908. As a child he witnessed numerous atrocities committed on fellow Indians by their British rulers, who came to trade under the guise of the East India Company, but ended up controlling most of the nation, and permitting tyrants such as General Dyer to massacre thousands of innocent men, women and children in Jallianwala Baug. As a child he was impressed by Mohandas K. Gandhi, especially his call to launch the non-cooperation movement, which led to thousands of people burning British-made clothing, giving up schools, and college studies, and government jobs - only to be let down by Gandhi himself when he called off the movement. Undaunted, Bhagat decided to be a revolutionary, starting with getting into petty fights, then as a grown-up joining the Hindustan Republic Association. When Lala Lajpat Rai was beaten to death by the police, Bhagat, along with Shivram Rajguru, Sukhdev, and others daringly carried out the assassination of a police officer named Saunders, which eventually led to Bhagat's arrest, where he was lodged in a cell, tortured and beaten mercilessly. His father, Kishan, paid Rs.60,000/- and bailed him out, so that he could get him to run a diary-farm and get married to a girl from Manavali. But being a revolutionary was in Bhagat's blood, and when the British proposed the Trade Disputes and Public Safety Bills, he would initiate the bombing in the Indian Parliament Building, along with Batukeshwar Dutt, be arrested, and tried in an open court. This is where Bhagat launched his much-publicized revolution, and became popular with the masses, especially the younger generation, laborers, and farmers, so much so that his popularity rivaled that of Gandhi himself. Even in prison, Bhagat made headline news when he and other prisoners undertook a 63 day fast unto death to improve the conditions of Indian freedom-fighter prisoners. Then the British re-opened the Saunders' murder case, which led to death sentences being imposed on Bhagat, Shivram, and Sukhdev. The entire nation rose up in protest, including the Congress party - with the ball being in Gandhi's court - for he was due to sign the Irwing Pact, and Indians hoped that he would use this as a bargaining chip to save the lives of the heroic trio. Will Gandhi rise up to the occasion and save the trio - so that they could pave the way for a modern and independent India, not just a country ruled by the British with a dominant status - an India free of communal hatred, injustice, corruption, and fundamentalism, or will Gandhi end up disappointing Bhagat all over again?",['155'],India,Hindi,,8.1,319736
The Mandalorian,2019,"Action, Adventure, Fantasy, Sci-Fi",Nothing from IMDB,"Jon Favreau, Jon Favreau, George Lucas","Pedro Pascal, Chris Bartlett, Katee Sackhoff, Carl Weathers, Giancarlo Esposito, Emily Swallow, Brendan Wayne, Misty Rosas, Leilani Shiu, Lateef Crowder","After the stories of Jango and Boba Fett, another warrior emerges in the Star Wars universe. The Mandalorian is set after the fall of the Empire and before the emergence of the First Order. We follow the travails of a lone gunfighter in the outer reaches of the galaxy far from the authority of the New Republic.",['40'],United States,English,,8.7,8111088
The Namesake,2006,Drama,Mira Nair,Nothing from IMDB,"Kal Penn, Tabu, Irrfan Khan, Jacinda Barrett, Zuleikha Robinson, Brooke Smith, Sahira Nair, Jagannath Guha, Ruma Guha Thakurta, Sandip Deb","While traveling by train to visit his grandfather in Jamshedpur, Calcutta born, Bengali-speaking Ashoke Ganguli meets with fellow-traveler, Ghosh, who impresses upon him to travel, while Ashoke is deep into a book authored by Nicholai Gogol. The train meets with an accident, and after recuperating, Ashoke re-locates to America, settles down, returns home in 1977 to get married to aspiring singer, Ashima, and returns home to New York. Shortly thereafter they become parents of a boy, who they initially name Gogol, and a few years later both give birth to Sonia. The family then buy their own house in the suburbs and travel to India for the first time after their marriage. The second time they travel to India is when Gogol and Sonia are in their late teens, and after a memorable visit to Kolkata and then to the Taj Mahal, they return home. Gogol falls in love with Maxine Ratliff and moves in with her family, while Ashoke spends time traveling, and Sonia moves to California, leaving Ashima all her by herself. The Ganguli family will be destined to travel to India again soon - this time under very different circumstances - and after all have endured life-changing events.",['122'],"United States, India, Japan","English, Bangla",,7.5,433416
John Travolta & Olivia Newton-John: I Think You Might Like It,2012,Music,"Rav Holly, Corey Molina",Nothing from IMDB,"Olivia Newton-John, John Travolta",,['3'],United States,English,,5.3,11852776
Thor: Ragnarok,2017,"Action, Adventure, Comedy, Fantasy, Sci-Fi",Taika Waititi,Nothing from IMDB,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Idris Elba, Jeff Goldblum, Tessa Thompson, Karl Urban, Mark Ruffalo, Anthony Hopkins, Benedict Cumberbatch","Imprisoned on the other side of the universe, the mighty Thor (Chris Hemsworth) finds himself in a deadly gladiatorial contest that puts him against The Incredible Hulk (Mark Ruffalo), his former ally and fellow Avenger. Thor's quest for survival leads him in a race against time to prevent the all-powerful Hela (Cate Blanchett) from destroying his home world and the Asgardian civilization.",['130'],United States,English,,7.9,3501632
