Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Helmet,2021,"Comedy, Drama",Satram Ramani,Nothing from IMDB,"Aparshakti Khurana, Abhishek Banerjee, Ashish Verma, Pranutan Bahl, Puneet Singh, Sharib Hashmi, Deepankar Jain, Anurita Jha, Jameel Khan, Tauqeer Khan","Lucky is a singer in a band which performs at weddings. But he wants to open his own band someday. He's in love with Rupali, whose father is a wealthy man and wants to get her married off to another guy. Lucky needs to prove to Rupali's dad that he is capable of marrying her. Desperate to make some quick money, Lucky and his friends rob an e-commerce company truck. But to their surprise, the looted boxes contain condoms instead of electronic gadgets. What will Lucky do? Will they be able to sell the condoms in a town that shies away from it?",['104'],India,Hindi,,6.5,11460818
Hello Namasthe,2016,"Comedy, Drama",Jayan K. Nair,Krishna Poojappura,"Vinay Forrt, Sanju Sivram, Bhavana, Miya George, Soubin Shahir, Joju George, P. Balachandran, Mukesh, Jayanarayan, Hareesh Kanaran",,['123'],India,Malayalam,,4.6,5328630
Heart of Stone,2023,"Action, Crime, Thriller",Tom Harper,Nothing from IMDB,"Jing Lusi, Jamie Dornan, Paul Ready, Gal Gadot, Enzo Cilenti, Joe Reisig, Luca Fiamenghi, Alia Bhatt, Matthias Schweighöfer, Thomas Arnold","Rachel Stone is a charter agent cum technician who works along with a team of MI 6 field agents. The mission is to locate the ""heart"" an AI enabled computer which has the capability of hacking into any software and could cause considerable havoc should it fall into the wrong hands. Keya, a young woman is an Indian computer specialist who is attached to another syndicate. Circumstances bring Rachel and Keya together and they realize that they have a common mission. They then team up to prevent the ""heart"" from falling in the wrong hands.",['122'],United States,English,,5.7,13603966
Hazaaron Khwaishein Aisi,2003,Drama,Sudhir Mishra,"Sudhir Mishra, Shivkumar Subramaniam, Ruchi Narain","Kay Kay Menon, Shiney Ahuja, Chitrangda Singh, Ram Kapoor, Saurabh Shukla, Yashpal Sharma, Jasbir Malik, Sohrab Ardeshir, Aditya Bhattacharya, Arif Zakaria","Geeta Rao has two admirers - one is Siddharth Tyabji and the other is Vikram Malhotra circa 1969 West Bengal that is witnessing it's struggle against the ruling Congress party, joining forces with left-wing Marxist and Communist parties. While Siddharth is directly involved in this struggle, Geeta and Vikram are romantically involved. When Vikram does not make any move toward marriage, despite of being introduced to Geeta's Madras-based family, she decides to give up on him, and he starts his romance with another young woman. While students continue to voice their disapproval of Prime Minister Indira Gandhi, the Allahabad High Court gives a judgment indicting her for several offenses under the Representation of People Act. Mrs. Gandhi then uses her powers to clamp Emergency, taking away all powers of the judiciary, giving police virtually unlimited powers to the Police to detain anyone under the National Security Act, imprisoning leaders of all political parties, empowering her son, Sanjay Gandhi, to indiscriminately carry out Human Rights abuses in order to fulfill her ""Family Planning"" mandate, and her 20-point program. Vikram's father is one such person who is arrested and held in a cell. Siddharth also is on the run; Vikram, who was never a part of this struggle, himself becomes entangled in it.",['120'],"India, France","Hindi, English",,7.9,411469
Haunted - 3D,2011,"Action, Fantasy, Horror",Vikram Bhatt,Nothing from IMDB,"Mimoh Chakraborty, Tia Bajpai, Achint Kaur, Mohan Kapur, Sanjay Sharma, Prachee Shah, Arif Zakaria, Firdaus Mevawala, Sanjeev Sharma, Pradeep Sharma","Delhi-based Rehan is instructed by his Realtor father to travel to Koti, near Shimla, and make preparations to sell Billimoria-owned 'Glen Manor' to the Mittal family for Rs.200 Crores. Upon arrival, he disregards warnings from local residents that the mansion is haunted by 'Shaitan'. Shortly thereafter he hears screams and inexplicable movement within the mansion. He then finds out that there are two entities that have persisted in this mansion for 80 years. Rehan will soon find himself transported back to August 17, 1936, where he hopes to change the past.",['143'],India,"Hindi, English",,6.3,1887763
Haseena,2017,"Biography, Crime, Drama, Thriller",Apoorva Lakhia,Nothing from IMDB,"Shraddha Kapoor, Ankur Bhatia, Siddhant Kapoor, Priyanka Setia, Rajesh Tailang, Rakesh Biduwa, Navdeep Tomar, Tauqeer Alam Khan, Vikram Chadha, Dadhey Pandey","In 2007 arrest warrant has been issued against Haseena Parkar following which she is missing. She surrenders herself to the court on the day of the hearing. Haseena is accused of extortion money from builder and looking after the illegal business of her brother settled in Dubai, several allegations are made against which Haseena denies being part of. As no witness turns up against Haseena she is granted bail by the judge.",['135'],India,Nothing from IMDB,,6.2,6512784
Hansel & Gretel: Witch Hunters,2013,"Action, Fantasy, Horror",Tommy Wirkola,Nothing from IMDB,"Jeremy Renner, Gemma Arterton, Famke Janssen, Pihla Viitala, Derek Mears, Robin Atkin Downes, Ingrid Bolsø Berdal, Joanna Kulig, Thomas Mann, Peter Stormare","Fifteen years after a horrific experience in a deceptively inviting ginger bread house, an orphan Hansel (Jeremy Renner) and Gretel (Gemma Arterton) have become famous for ridding the countryside of witches. Despite their stellar success record, the brother and sister face a unique challenge when an extremely powerful witch is identified as the culprit stealing children from a local village with the intent to sacrifice them in an ancient magical ceremony to be held on the night of the Blood Moon. As Hansel and Gretel race against the clock, making several unlikely allies on the way (among them a troll and a witch hunter fanboy), they unexpectedly come across a link to their own pasts and the secret their parents took with them when they disappeared.k.",['88'],"United States, Germany",English,,6.1,1428538
Hands of Stone,2016,"Biography, Drama, Sport",Jonathan Jakubowicz,Jonathan Jakubowicz,"Edgar Ramírez, Robert De Niro, Usher, Rubén Blades, Ana de Armas, Pedro Perez, Óscar Jaenada, John Turturro, Ellen Barkin, Jurnee Smollett","Follows the life of Roberto Duran, who made his professional debut in 1968 as a 16-year-old and retired in 2002 at age 50. In June 1980, he defeated Sugar Ray Leonard to capture the WBC welterweight title but shocked the boxing world by returning to his corner in the November rematch, saying 'no mas' (no more).",['111'],"Panama, United States","English, Spanish",,6.6,1781827
Halahal,2020,"Crime, Drama, Mystery, Thriller",Randeep Jha,Nothing from IMDB,"Barun Sobti, Sachin Khedekar, Purnendu Bhattacharya, Manu Rishi Chadha, Vijay Kumar Dogra, Anuradha Mukherjee, Sanya Bansal, Chandramogli Madem, Chetan Sharma, Shashikant Vats","The murder of a medical college girl morphed into a suicide takes Dr. Shiv Sharma (father of the girl) on a journey to dig the truth out of his daughter's murder, with the help of a corrupt police officer, Yusuf. He realises that it is not a normal murder case but instead, there is a scam going on behind all this where students are being killed to hide the truth from the world. Eventually, Dr. Shiv finds out that his daughter was also one of the conspirators of the scam. Will he expose the scam to the world along with his daughter? Or will he hide the facts from the world? Will it be a life changing case for Yusuf to make money from Dr. Shiv in return for his help?",['97'],India,Hindi,,7.0,9875128
Hadh Kar Di Aapne,2000,"Comedy, Romance",Manoj Agrawal,Nothing from IMDB,"Govinda, Rani Mukerji, Johny Lever, Paresh Rawal, Satish Kaushik, Tinnu Anand, Avtar Gill, Viju Khote, Bharat Kapoor, Navneet Nishan","Anjali Khanna had always suspected her husband, Sanjay, of cheating on her, and flirting with other women. In order to keep an eye on him and his activities, she asks her friend, who is also named Anjali Khanna (Rani Mukherji) to go abroad under her name, which she does so. When Sanjay finds out that Anjali to go abroad, he hires Raj Malhotra to follow Anjali and make sure she is not having an affair, Raj does so with hilarious results.",['134'],India,Hindi,,5.3,244528
